,y,zhan,zhang,mao,arima
228,8564.0,8580.16920161399,8554.0,8560.0,8570.621059353489
229,8586.0,8578.69226140384,8557.0,8559.333333333334,8584.741335124161
230,8596.0,8602.528010341568,8582.636363636364,8582.916666666666,8604.819235075518
231,8592.0,8612.736435886382,8593.75,8593.923076923076,8615.812680067083
232,8641.0,8605.205146120164,8588.0,8590.0,8600.003446844423
233,8660.0,8659.09666403865,8642.285714285714,8642.2,8672.04279131548
234,8672.0,8678.070103406959,8662.466666666667,8662.3125,8681.492578963473
235,8671.0,8689.865107421554,8675.0625,8674.882352941177,8685.004758332194
236,8677.0,8686.694755897988,8673.823529411764,8673.666666666666,8687.056707824177
237,8761.0,8692.804517226867,8680.0,8679.842105263158,8687.121846622027
238,8805.0,8780.88965628236,8768.263157894737,8767.9,8803.376670673752
239,8844.0,8825.812061972018,8814.1,8813.666666666666,8832.76336107852
240,8837.0,8865.511141485027,8854.52380952381,8854.045454545454,8864.263895625549
241,8836.0,8855.695574661338,8830.0,8833.5,8855.148908954594
242,8921.0,8853.794458405277,8832.0,8833.333333333334,8846.753035450454
243,8951.0,8942.567014228509,8933.416666666666,8932.92,8962.440799681555
244,8952.0,8972.663248350345,8964.12,8963.615384615385,8981.321062858155
245,8938.0,8972.150196042589,8953.0,8952.5,8961.57233118365
246,8998.0,8955.204197878962,8924.0,8931.0,8947.882155012396
247,9011.0,9019.013083695227,9011.392857142857,9010.931034482759,9031.06376319059
248,9027.0,9031.276424719405,9024.379310344828,9023.933333333332,9035.099318062215
249,9035.0,9047.174729716393,9040.466666666667,9040.032258064517,9039.209033258832
250,9053.0,9054.103389679593,9043.0,9039.0,9059.395351575906
251,9080.0,9072.400270863589,9066.0,9061.666666666666,9068.600958570383
252,9088.0,9100.12699600921,9093.848484848484,9093.441176470587,9106.270855649764
253,9116.0,9107.135790134063,9101.676470588236,9101.285714285714,9106.381269272955
254,9147.0,9135.99647189432,9130.085714285715,9129.694444444445,9137.828838680478
255,9173.0,9167.404759180648,9161.555555555555,9161.162162162162,9172.670708478921
256,9172.0,9193.519638545398,9187.864864864865,9187.473684210527,9195.309803848893
257,9176.0,9190.83214484614,9186.447368421053,9186.076923076924,9186.554585966816
258,9198.0,9194.385789042904,9190.179487179486,9189.825,9191.119477354558
259,9268.0,9217.167875024676,9212.375,9212.024390243903,9221.009610672481
260,9273.0,9289.099821638189,9283.731707317073,9283.357142857143,9302.453332868288
261,9290.0,9293.035174628512,9288.47619047619,9288.116279069767,9290.816865962955
262,9291.0,9310.042744997852,9305.511627906977,9305.15909090909,9304.671345923096
263,9324.0,9309.587460871579,9292.0,9291.5,9312.638377971716
264,9351.0,9344.028044264864,9339.577777777778,9339.239130434782,9343.164877014635
265,9341.0,9371.35000274063,9366.826086956522,9366.489361702128,9378.759772898307
266,9376.0,9358.716919500452,9331.0,9336.0,9349.006547319575
267,9398.0,9395.735739323749,9388.5,9384.333333333334,9398.671430263144
268,9412.0,9417.887307391933,9413.666666666666,9409.75,9423.268069785028
269,9437.0,9431.29522525541,9426.0,9419.0,9429.640335804086
270,9453.0,9456.95398411365,9452.960784313726,9452.653846153846,9458.583502425128
271,9456.0,9472.755709656638,9468.961538461539,9468.66037735849,9473.57627021059
272,9484.0,9474.668994361786,9471.716981132075,9471.425925925925,9471.628722772353
273,9516.0,9503.69995580114,9499.5,9494.333333333334,9506.395668337611
274,9542.0,9536.083404736462,9532.236363636364,9531.94642857143,9541.760519660062
275,9552.0,9562.194883736738,9558.410714285714,9558.122807017544,9563.722318176428
276,9545.0,9571.341704361084,9568.298245614034,9568.01724137931,9569.053960299394
277,9552.0,9561.907787633065,9538.0,9541.5,9557.67728254262
278,9689.0,9568.900235868465,9552.0,9552.0,9569.184760516884
279,9666.0,9710.640502593715,9706.766666666666,9706.475409836066,9741.829618678255
280,9668.0,9685.039343563616,9643.0,9654.5,9683.342413681446
281,9664.0,9686.728341261833,9657.5,9661.0,9672.37451737671
282,9681.0,9682.213508316374,9655.666666666666,9657.75,9683.941723147283
283,9702.0,9699.584323325109,9679.0,9679.4,9682.618538014876
284,9750.0,9720.963731529817,9704.6,9704.166666666666,9731.181674201087
285,9796.0,9770.600182204109,9760.166666666666,9758.714285714286,9778.922406812972
286,9800.0,9817.573182365066,9811.285714285714,9809.375,9826.253505298782
287,9835.0,9820.07305063051,9813.875,9812.333333333334,9815.256537016574
